articleLink,phrase
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,Automobile
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,forms
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,Ford Motor
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,Downtrend
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,NYSE
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,share prices
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,SmarTrend
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,today's recent price
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,months
http://www.mysmartrend.com/news-briefs/technical-analysis/downtrend-call-working-ford-motor-co-stock-falls-189-f,week high
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,game
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,gloom
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,Eagle head football coach
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,things
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,Paul Peterson
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,Ben Ford
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,rescue
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,BOISE
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,starters
https://www.idahopress.com/sports/highschool/football/eagle-secures-playoff-spot-thanks-to-ford-and-late-defensive/article_4bc24fc4-66b6-5fd0-99cb-0c4a43383e5a.html,team
