articleLink,headline,headlineSentiment,textSnippet
http://www.communitynewspapergroup.com/waverly_newspapers/first-walk-on-the-moon/article_4035dfda-cd63-11e8-898c-7b4ab7287cd6.html,First Walk on the Moon,0.5,"My life was full and complicated. My husband worked and played Hearts at lunch time. When I began to work for NASA, it was with the understanding I would not interrupt his card games. I said, “I am the Mother here.” She said, “Take a look at ..."
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,ISS crew in 'good condition' after failed space launch,0.7547367215156555,"Two astronauts from the U.S. and Russia have made an emergency landing after a Russian booster rocket carrying them into orbit to the International Space Station failed after launch, NASA says. American astronaut Nick Hague and Russian cosmonaut Alexey ..."
https://www.duluthnewstribune.com/news/world/4512211-american-russian-alive-after-soyuz-rocket-headed-space-station-fails-launch,"American, Russian alive after Soyuz rocket headed to space station fails on launch",0.2501397132873535,"They fell about 31 miles back to the surface, according to NASA. They were immediately located by rescue teams, retrieved from the capsule with no apparent injuries, and flown back to the launch site for an emotional reunion with their families."
https://www.businessinsider.com/nasa-boeing-space-launch-system-audit-reveals-delays-cost-2018-10,NASA's only plan to return astronauts to the moon after nearly 50 years just got slammed by an internal audit,0.5,"NASA is trying to build the world's most powerful rocket, called the Space Launch System, or SLS. The rocket program's goal: send American astronauts back to the moon for the first time in nearly 50 years, then send people to Mars later on. However, a new ..."
https://www.jpl.nasa.gov/video/details.php?id=1550,OnSight: Virtual Visit to Mars,0.5,"OnSight is mixed-reality software that allows scientists and engineers to virtually walk and meet on Mars. It was created by NASA's Jet Propulsion Laboratory, in collaboration with Microsoft, for the HoloLens."
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,NASA is testing this clinical decision support tool in outer space,0.6901018023490906,A clinical decision support tool from Wolters Kluwer has reached the final frontier. NASA is piloting Wolters Kluwer’s UpToDate solution on board the International Space Station. The tool gives ...
http://iphonefresh.com/2018/10/11/heres-what-todays-soyuz-launch-failure-means-for-space.html,Here's What Today's Soyuz Launch Failure Means for Space Station Astronauts,0.5,"A search-and-rescue team has reached the landing site, both crewmembers are in good condition and have left the Soyuz capsule as of 6:10 a.m. EDT, NASA spokesperson Brandi Dean said during live television commentary. The three astronauts now on board the ..."
https://www.redding.com/story/news/nation-now/2018/10/11/nasa-crew-great-shape-following-emergency-landing/1601859002/,NASA: Astronauts 'in great shape' after emergency rocket landing,0.8292297720909119,"An American and Russian astronaut are ""in great shape"" after the rocket they boarded suffered a malfunction on its way to the International Space Station, forcing an emergency landing. An investigation will take place into what happened with the rocket ..."
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,"NASA Astronaut Nick Hague, Russian Cosmonaut Alexey Ovchinin In Good Condition After Booster Failure",0.5,ABOVE VIDEO: American astronaut Nick Hague and Russian cosmonaut Alexey Ovchinin returned to Earth after their rocket suffered a booster failure Thursday shortly after launch. (NASA) – NASA ...
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,The Good News Buried in Thursday's Soyuz Rocket Failure,0.5,What unfolded was a master class in how things go right when things go wrong. The rocket was intended to carry veteran Russian cosmonaut Alexey Ovchinin and rookie NASA astronaut Tyler “Nick” Hague up to low-Earth orbit for a six month stay aboard the ...
