articleLink,imageLink,color
http://iphonefresh.com/2018/10/11/heres-what-todays-soyuz-launch-failure-means-for-space.html,https://resources.stuff.co.nz/content/dam/images/1/s/6/8/m/9/image.related.StuffLandscapeSixteenByNine.620x350.1s68jf.png/1539251847426.jpg,Blue
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,http://spacecoastdaily.com/wp-content/uploads/2018/10/U.S.-Astronaut-Nick-Hague-Russian-Cosmonaut-Alexey-Ovchinin-580-2.jpg,Black
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,http://spacecoastdaily.com/wp-content/uploads/2018/10/U.S.-Astronaut-Nick-Hague-Russian-Cosmonaut-Alexey-Ovchinin-580-2.jpg,Grey
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,Black
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,Grey
https://blogs.nasa.gov/earthexpeditions/2018/10/11/students-traverse-land-air-and-water-in-canada-with-nasas-above/,https://blogs.nasa.gov/earthexpeditions/wp-content/uploads/sites/257/2018/10/Picture2.png,White
https://thewesterner.blogspot.com/2018/10/is-nasa-planning-to-geoengineer.html,https://4.bp.blogspot.com/-lgckQM-COio/W7-mv0LDUxI/AAAAAAABABo/4F1GbFH5b70_fLJHyDirEXYZCKuO-JTFQCLcBGAs/s200/000.jpg,Blue
https://boingboing.net/2018/10/11/video-fifty-years-ago-today-w.html,https://media.boingboing.net/wp-content/uploads/2018/10/screenshot-49.jpg,Blue
https://boingboing.net/2018/10/11/video-fifty-years-ago-today-w.html,https://media.boingboing.net/wp-content/uploads/2018/10/screenshot-49.jpg,Grey
http://thefucomics.com/2018/10/soyuz-rocket-failure-what-went-wrong-and-what-happens-next/,https://cbsnews1.cbsistatic.com/hub/i/r/2018/10/11/12ab96e6-e7bc-4685-9a35-fec05feb7764/thumbnail/620x350/013ff8cf3ca3411ae1321b079760f99c/soyuz-launch-abort.jpg#,Blue
http://www.awardsdaily.com/2018/10/11/interview-brian-darcy-says-working-on-first-man-with-damien-chazelle-was-a-crash-course-in-all-things-nasa/,http://www.awardsdaily.com/wp-content/uploads/2018/10/tifc-jIA.jpeg,White
http://www.awardsdaily.com/2018/10/11/interview-brian-darcy-says-working-on-first-man-with-damien-chazelle-was-a-crash-course-in-all-things-nasa/,http://www.awardsdaily.com/wp-content/uploads/2018/10/tifc-jIA.jpeg,Grey
http://www.awardsdaily.com/2018/10/11/interview-brian-darcy-says-working-on-first-man-with-damien-chazelle-was-a-crash-course-in-all-things-nasa/,http://www.awardsdaily.com/wp-content/uploads/2018/10/tifc-jIA.jpeg,Black
https://phys.org/news/2018-10-nasa-powerful-hurricane-sergio-temperature_1.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2018/nasaprovides.jpg,White
https://phys.org/news/2018-10-nasa-powerful-hurricane-sergio-temperature_1.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2018/nasaprovides.jpg,Grey
https://phys.org/news/2018-10-nasa-powerful-hurricane-sergio-temperature_1.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2018/nasaprovides.jpg,Black
https://phys.org/news/2018-10-nasa-tropical-cyclone-titli-landfall.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2018/5-nasacatchest.jpg,White
https://phys.org/news/2018-10-nasa-tropical-cyclone-titli-landfall.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2018/5-nasacatchest.jpg,Grey
http://science.sciencemag.org/content/362/6411/139.full,http://science.sciencemag.org/content/sci/362/6411/139/F1.medium.gif,White
http://science.sciencemag.org/content/362/6411/139.full,http://science.sciencemag.org/content/sci/362/6411/139/F1.medium.gif,Pink
http://vestnikkavkaza.net/news/Russian-%E2%80%98commission%E2%80%99-will-investigate-rocket-failure-NASA.html,http://vestnikkavkaza.net/upload2/2018-10-11/15392793835bbf8a17422003.54260187.jpg,Blue
