articleLink,entity,wikiLink
https://www.duluthnewstribune.com/news/world/4512211-american-russian-alive-after-soyuz-rocket-headed-space-station-fails-launch,NASA,https://en.wikipedia.org/wiki/NASA
https://www.businessinsider.com/nasa-boeing-space-launch-system-audit-reveals-delays-cost-2018-10,Space Launch System,https://en.wikipedia.org/wiki/Space_Launch_System
https://www.businessinsider.com/nasa-boeing-space-launch-system-audit-reveals-delays-cost-2018-10,United States,https://en.wikipedia.org/wiki/United_States
https://www.businessinsider.com/nasa-boeing-space-launch-system-audit-reveals-delays-cost-2018-10,NASA,https://en.wikipedia.org/wiki/NASA
https://www.businessinsider.com/nasa-boeing-space-launch-system-audit-reveals-delays-cost-2018-10,Mars,https://en.wikipedia.org/wiki/Mars
https://www.jpl.nasa.gov/video/details.php?id=1550,Jet Propulsion Laboratory,https://en.wikipedia.org/wiki/Jet_Propulsion_Laboratory
https://www.jpl.nasa.gov/video/details.php?id=1550,Microsoft,https://en.wikipedia.org/wiki/Microsoft
https://www.jpl.nasa.gov/video/details.php?id=1550,Microsoft HoloLens,https://en.wikipedia.org/wiki/Microsoft_HoloLens
https://www.jpl.nasa.gov/video/details.php?id=1550,Mars,https://en.wikipedia.org/wiki/Mars
https://www.jpl.nasa.gov/video/details.php?id=1550,NASA,https://en.wikipedia.org/wiki/NASA
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,International Space Station,https://en.wikipedia.org/wiki/International_Space_Station
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,Wolters Kluwer,https://en.wikipedia.org/wiki/Wolters_Kluwer
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,UpToDate,https://en.wikipedia.org/wiki/UpToDate
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,NASA,https://en.wikipedia.org/wiki/NASA
http://iphonefresh.com/2018/10/11/heres-what-todays-soyuz-launch-failure-means-for-space.html,Soyuz (spacecraft),https://en.wikipedia.org/wiki/Soyuz_(spacecraft)
http://iphonefresh.com/2018/10/11/heres-what-todays-soyuz-launch-failure-means-for-space.html,NASA,https://en.wikipedia.org/wiki/NASA
http://iphonefresh.com/2018/10/11/heres-what-todays-soyuz-launch-failure-means-for-space.html,Eastern Time Zone,https://en.wikipedia.org/wiki/Eastern_Time_Zone
https://www.redding.com/story/news/nation-now/2018/10/11/nasa-crew-great-shape-following-emergency-landing/1601859002/,International Space Station,https://en.wikipedia.org/wiki/International_Space_Station
https://www.redding.com/story/news/nation-now/2018/10/11/nasa-crew-great-shape-following-emergency-landing/1601859002/,United States,https://en.wikipedia.org/wiki/United_States
https://www.redding.com/story/news/nation-now/2018/10/11/nasa-crew-great-shape-following-emergency-landing/1601859002/,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,The American Astronaut,https://en.wikipedia.org/wiki/The_American_Astronaut
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,Nick Hague,https://en.wikipedia.org/wiki/Nick_Hague
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,Earth,https://en.wikipedia.org/wiki/Earth
http://spacecoastdaily.com/2018/10/nasa-astronaut-nick-hague-russian-cosmonaut-alexey-ovchinin-in-good-condition-after-booster-failure/,NASA,https://en.wikipedia.org/wiki/NASA
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,Low Earth orbit,https://en.wikipedia.org/wiki/Low_Earth_orbit
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,NASA,https://en.wikipedia.org/wiki/NASA
https://www.businessinsider.com/russian-soyuz-rocket-emergency-astronaut-crew-safe-space-station-plan-2018-10,Soyuz (rocket family),https://en.wikipedia.org/wiki/Soyuz_(rocket_family)
https://www.businessinsider.com/russian-soyuz-rocket-emergency-astronaut-crew-safe-space-station-plan-2018-10,Roscosmos,https://en.wikipedia.org/wiki/Roscosmos
https://www.businessinsider.com/russian-soyuz-rocket-emergency-astronaut-crew-safe-space-station-plan-2018-10,NASA,https://en.wikipedia.org/wiki/NASA
https://blogs.nasa.gov/earthexpeditions/2018/10/11/students-traverse-land-air-and-water-in-canada-with-nasas-above/,Northwest Territories,https://en.wikipedia.org/wiki/Northwest_Territories
https://blogs.nasa.gov/earthexpeditions/2018/10/11/students-traverse-land-air-and-water-in-canada-with-nasas-above/,Great Bear Lake,https://en.wikipedia.org/wiki/Great_Bear_Lake
