articleLink,phrase
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,station
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,astronauts
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,NASA's final shuttle mission
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,years
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,Russian rockets
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,International Space Station
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,America taxpayer dollars
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,recent series
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,Russian space officials
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,Russian booster rocket
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,International Space Station
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,NASA astronaut Nick Hague
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,Alexei Ovchinin
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,Roscosmos
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,emergency landing
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,failure
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,aborted launch
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,Russian Soyuz spacecraft
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,NASA administrator
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,astronauts unable
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,Charles Bolden
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,duty
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,NASA team
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,NASA statement
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,NASA Administrator Jim Bridenstine
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,aborted launch
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,Ovchinin
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,capsule
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,situation
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,good condition
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,Hague
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,month
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,progress
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,prospects
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,engineers
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,recovery campaign
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,commanding frequency
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,NASA's Opportunity rover
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,deadlines
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,mission
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,failed space launch
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,aborted launch
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,International Space Station
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,astronauts
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,crew
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,plans
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,Kazakhstan
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,AP
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,times local
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,BAIKONUR
http://news.trust.org/item/20181011102044-me9v1/,Russian cosmonaut Alexei Ovchinin
http://news.trust.org/item/20181011102044-me9v1/,astronaut Nick Hague
http://news.trust.org/item/20181011102044-me9v1/,Soyuz capsule
http://news.trust.org/item/20181011102044-me9v1/,good condition
http://news.trust.org/item/20181011102044-me9v1/,Reuters
http://news.trust.org/item/20181011102044-me9v1/,NASA television
http://news.trust.org/item/20181011102044-me9v1/,ALMATY
http://news.trust.org/item/20181011094540-t15vh/,Russian cosmonaut Alexei Ovchinin
http://news.trust.org/item/20181011094540-t15vh/,astronaut Nick Hague
http://news.trust.org/item/20181011094540-t15vh/,Soyuz
